img_path,source_prompt,target_prompt,instruction
beach.jpg,a beach,a beach and an umbrella,add an umbrella
boxer.jpg,a boxer,a boxer wearing a sunglasses,add sunglasses
cat_dog.jpg,a cat,a cat with green eyes,add green eyes
cat.jpg,a cat and a dog,a cat and a bronze sculpture of a dog,replace dog with a bronze sculpture of a dog
lemon.jpg,a photo of lemons,a photo of transparent marbles,replace lemons with transparent marbles
library.jpg,a library with light bulbs,a library with blue light bulbs,change light bulbs to blue
man.jpg,a photo of a man,a photo of a man wearing a hat,add a hat
notebook.jpg,a notebook,a notebook with a drawing of a coffee cup,add a drawing of a coffee cup
painting1.jpg,painting,,remove painting
painting2.jpg,painting,,remove painting
tiger.jpg,tigers,cats,replace tigers with cats
waterfall.jpg,,winter,change to winter scene
beach2.jpg,a beach,a beach and an umbrella,add an umbrella
savanna.jpg,a tree,a tree and a safari jeep,add a safari jeep
circus.jpg,a circus tent,a circus tent with a flying airplane,add a flying airplane
sky.jpg,a photo of sky,a photo of sky with a flying airplane,add a flying airplane
lighthouse.jpg,a lighthouse,a house,replace lighthouse with a house
bread.jpg,bread,bread with jam,add jam
musician.jpg,a musician,a musician with blonde hair,add blonde hair
statue.jpg,a statue,a statue and a hat,add a hat
fox.jpg,a fox,a cat,replace fox with a cat
sky2.jpg,,a bird,add a bird
woman.jpg,a girl wearing a black t-shirt,a girl wearing a blue t-shirt,change t-shirt color to blue
bed.jpg,a bed,a bed and a suitcase,add a suitcase
pizza.jpg,pizza,seafood pizza,add seafood
man2.jpg,a man wearing a shirt,a man wearing a leather jacket,change shirt to leather jacket
pancake.jpg,pancakes,pancakes dripping with syrup,add syrup
cake.jpg,a cake,a cake with a candle,add a candle
vegetable.jpg,stir-fried vegetables,fried rice,replace stir-fried vegetables with fried rice
man3.jpg,a man sitting at a table,a man sitting a table with apples,add apples
man4.jpg,a man,a man and a backpack,add a backpack
breakfast.jpg,bacons and a scallion fried egg,,remove breakfast items
dark_sky.jpg,,thunder,add thunder
burger.jpg,a burger set,a burger set with a burger flag,add a burger flag
drawing.jpg,a drawing of a green apple with a red background,a red apple with a green background,change apple color to red and background to green
river.jpg,a river,a frozen river,freeze the river
meatball.jpg,meatballs,chrome balls,replace meatballs with chrome balls
sofa.jpg,a room with a sofa,a room with a red velvet sofa,change sofa to red velvet
brick_wall.jpg,blue brick walls,reflective walls,change walls to reflective
street.jpg,nighttime,daytime,change to daytime
lake3.jpg,a lake,a lake of lava,change lake to lava
wooden_floor.jpg,a room with wooden floor,a room with carpet,replace wooden floor with carpet
dog_painting.jpg,a painting of a dog,a painting of a dog wearing a blindfold over its eyes,add a blindfold to the dog
cat3.jpg,a cat,a cat with blue eyes,add blue eyes
empty_room.jpg,a room,a room with a dining table,add a dining table
interior.jpg,,a small bronze statue,add a small bronze statue
